LandContour,LotConfig,Neighborhood,BldgType,OverallQual,OverallCond,YearBuilt,CentralAir,X1stFlrSF,X2ndFlrSF,TotRmsAbvGrd,Fireplaces,PavedDrive,SalePrice
Lvl,Inside,NPkVill,TwnhsE,6,5,1974,Y,855,467,6,1,Y,147000
Lvl,Inside,SWISU,1Fam,6,5,1936,Y,1166,0,6,0,Y,115000
Lvl,Inside,BrkSide,1Fam,5,6,1945,N,808,0,6,0,P,81300
Lvl,Corner,NAmes,1Fam,5,5,1968,Y,1051,0,6,0,Y,142000
Lvl,Inside,BrkSide,1Fam,4,5,1926,Y,747,0,5,0,Y,79900
Lvl,Inside,BrkSide,1Fam,5,7,1921,Y,616,0,4,0,Y,89000
Lvl,Inside,CollgCr,1Fam,9,5,2008,Y,2276,0,7,2,Y,475000
Lvl,Inside,IDOTRR,1Fam,4,6,1925,N,572,0,4,0,N,75000
Lvl,Inside,NAmes,1Fam,5,5,1964,Y,1292,0,6,2,Y,145100
Lvl,Inside,NAmes,1Fam,4,7,1960,Y,894,0,5,1,Y,141500
Lvl,Inside,Crawfor,1Fam,7,6,1941,Y,1225,908,8,2,Y,257500
Lvl,Corner,BrkSide,2fmCon,5,6,1939,Y,1077,0,5,2,Y,118000
Lvl,Inside,Gilbert,1Fam,7,5,2000,Y,774,656,7,1,Y,180000
HLS,Inside,StoneBr,TwnhsE,9,5,2007,Y,1710,0,6,1,Y,334000
Lvl,Inside,Gilbert,1Fam,7,5,2000,Y,1008,884,8,1,Y,226750
Lvl,Inside,NAmes,1Fam,5,7,1959,Y,1053,0,5,0,Y,145500
Lvl,Corner,Gilbert,1Fam,7,5,2004,Y,744,630,8,1,Y,175000
Lvl,Inside,NAmes,1Fam,6,6,1960,Y,1081,0,5,0,Y,148000
Lvl,Inside,NridgHt,Twnhs,8,5,2006,Y,1554,0,6,1,Y,209500
Lvl,Inside,Sawyer,1Fam,5,6,1968,Y,1721,0,7,1,Y,180000
Lvl,CulDSac,CollgCr,1Fam,7,5,2003,Y,1129,1198,9,1,Y,240000
Lvl,Corner,OldTown,1Fam,4,6,1920,Y,861,0,5,0,N,80000
Low,Inside,CollgCr,1Fam,7,5,1998,Y,1463,0,5,0,Y,207000
Lvl,Inside,NridgHt,Twnhs,7,5,2003,Y,764,862,6,0,Y,175500
Lvl,Corner,NAmes,1Fam,5,7,1957,Y,816,0,5,0,Y,129900
HLS,Inside,Crawfor,1Fam,5,7,1921,Y,964,0,5,0,Y,163500
Lvl,CulDSac,CollgCr,1Fam,7,5,1998,Y,880,844,8,0,Y,188000
Lvl,Inside,Crawfor,1Fam,7,8,1918,Y,628,600,6,1,Y,137000
Lvl,Inside,Edwards,1Fam,4,5,1948,N,792,328,5,0,P,64000
Lvl,Inside,Somerst,TwnhsE,9,5,2001,Y,1419,0,5,1,Y,290000
Lvl,Inside,IDOTRR,1Fam,5,7,1922,Y,816,0,5,0,N,75200
HLS,FR2,Gilbert,1Fam,6,5,1997,Y,802,709,8,1,Y,185000
Lvl,Corner,SWISU,1Fam,7,3,1920,Y,1687,998,12,2,Y,197000
Lvl,FR2,NAmes,1Fam,4,4,1920,Y,1281,457,7,1,Y,104900
Lvl,Inside,BrkSide,1Fam,3,5,1945,N,442,228,4,0,N,64000
Lvl,Inside,NridgHt,Twnhs,8,5,2006,Y,1554,0,6,1,Y,209500
Lvl,Inside,Edwards,1Fam,5,5,1950,Y,1368,0,6,0,Y,120000
Lvl,Corner,NAmes,Duplex,5,5,1961,N,1800,0,10,0,N,130000
Lvl,Corner,SWISU,1Fam,7,8,1921,Y,1424,0,7,1,Y,168000
Lvl,Inside,NWAmes,1Fam,7,5,1969,Y,1164,0,6,0,Y,140000
Lvl,Inside,Timber,1Fam,7,5,1989,Y,1238,1281,9,2,Y,335000
Lvl,Inside,Somerst,1Fam,8,5,2004,Y,1694,0,7,1,Y,307000
Bnk,Inside,Crawfor,1Fam,6,7,1942,Y,753,741,7,2,P,177500
Lvl,CulDSac,Timber,1Fam,7,5,1990,Y,1339,0,6,1,Y,180000
Lvl,Inside,Blmngtn,TwnhsE,7,5,2003,Y,1557,0,7,1,Y,234000
HLS,Inside,Timber,1Fam,9,5,2008,Y,2018,0,10,1,Y,378500
Lvl,Inside,Somerst,1Fam,7,5,1997,Y,975,975,7,1,Y,239000
Lvl,Corner,NAmes,Duplex,5,4,1961,N,1800,0,10,0,Y,141000
Lvl,CulDSac,Edwards,1Fam,4,5,1958,N,943,0,5,0,N,80000
Lvl,Inside,NoRidge,1Fam,8,5,1998,Y,1310,1140,7,1,Y,340000
Lvl,Inside,GrnHill,TwnhsE,7,5,1998,Y,1502,0,5,1,Y,330000
Lvl,Inside,NPkVill,TwnhsE,6,5,1978,Y,804,744,7,1,Y,147000
Low,Inside,ClearCr,1Fam,7,6,1979,Y,1332,192,4,1,Y,260000
Bnk,Corner,OldTown,2fmCon,7,5,1902,N,978,886,9,0,N,97500
Lvl,Inside,NridgHt,TwnhsE,9,5,2008,Y,1456,0,6,1,Y,248500
Lvl,Inside,SawyerW,1Fam,6,5,2003,Y,835,861,7,0,Y,188000
Lvl,Inside,ClearCr,1Fam,5,3,1917,N,725,499,6,0,N,107500
Lvl,Inside,Sawyer,Duplex,5,4,1977,Y,1967,0,10,0,Y,156500
Lvl,Corner,NridgHt,1Fam,8,5,2003,Y,1575,0,7,1,Y,284000
Lvl,FR3,NWAmes,1Fam,6,6,1980,Y,1102,0,5,1,Y,169000
Bnk,Inside,Edwards,1Fam,6,7,1946,Y,892,747,6,1,Y,154400
Lvl,Inside,SWISU,2fmCon,5,4,1915,N,1212,180,6,0,N,100000
Lvl,Inside,NAmes,1Fam,6,4,1967,Y,1040,0,6,1,Y,163000
Lvl,Inside,OldTown,1Fam,6,4,1880,Y,1178,1032,8,0,N,117500
Lvl,FR2,CollgCr,1Fam,7,5,2004,Y,1500,0,6,0,Y,190000
Lvl,Inside,Edwards,1Fam,4,7,1910,N,796,550,6,0,Y,112000
Lvl,Inside,Edwards,1Fam,4,6,1954,Y,948,0,5,1,Y,119000
Lvl,Corner,Sawyer,1Fam,5,7,1962,Y,999,0,6,0,Y,132500
Lvl,Inside,CollgCr,1Fam,6,5,2006,Y,1314,0,6,1,Y,176432
Lvl,Inside,OldTown,1Fam,5,5,1910,N,801,646,6,0,N,103000
Lvl,Inside,NAmes,1Fam,5,6,1968,Y,732,732,7,0,Y,141000
Lvl,Inside,Somerst,Twnhs,7,5,1999,Y,757,744,6,0,Y,179400
HLS,Inside,Crawfor,1Fam,5,6,1940,Y,1125,592,7,1,Y,194000
Lvl,Inside,Somerst,1Fam,7,5,2007,Y,1218,0,6,0,Y,230348
Bnk,Corner,Mitchel,1Fam,6,5,1983,Y,1080,0,5,0,Y,134000
Lvl,Corner,NridgHt,1Fam,9,5,2008,Y,1808,0,7,1,Y,324000
Lvl,Inside,OldTown,1Fam,6,7,1910,Y,780,741,8,0,Y,146500
Lvl,FR2,NridgHt,1Fam,10,5,2006,Y,1718,0,7,1,Y,337500
Lvl,Inside,NAmes,1Fam,6,5,1974,Y,1434,0,7,1,Y,157000
Lvl,Inside,NAmes,1Fam,5,6,1961,Y,1144,0,6,0,Y,139950
Lvl,Inside,Edwards,1Fam,5,7,1959,Y,3820,0,11,2,Y,284700
Lvl,CulDSac,StoneBr,TwnhsE,8,5,1984,Y,1360,0,4,1,Y,187500
HLS,CulDSac,Gilbert,1Fam,8,5,2005,Y,901,900,8,1,Y,239900
Lvl,Inside,NAmes,1Fam,5,6,1970,Y,1002,0,5,0,Y,148500
Lvl,Inside,NridgHt,1Fam,9,5,2008,Y,1734,1088,12,1,Y,582933
Low,CulDSac,Crawfor,1Fam,6,7,1954,Y,1640,0,7,1,Y,224000
Lvl,Inside,MeadowV,Twnhs,4,4,1972,Y,546,546,5,0,Y,85500
Lvl,Inside,Veenker,1Fam,6,6,1977,Y,1208,0,6,1,Y,165000
Lvl,Corner,CollgCr,1Fam,6,5,2007,Y,608,788,6,1,Y,170000
Lvl,Inside,Gilbert,1Fam,5,5,2005,Y,734,1104,7,1,Y,192140
Lvl,Inside,NAmes,1Fam,5,5,1960,Y,1242,0,6,0,Y,152000
Lvl,Inside,Mitchel,1Fam,5,7,1971,Y,796,0,5,0,Y,138000
Lvl,Inside,Somerst,1Fam,10,5,2007,Y,1966,0,6,1,Y,419005
Lvl,Inside,NAmes,1Fam,7,6,1965,Y,902,918,8,2,Y,201800
Lvl,Inside,NoRidge,1Fam,7,8,1991,Y,975,780,7,1,Y,235000
Lvl,Inside,Sawyer,1Fam,4,7,1945,N,998,0,5,0,Y,89500
HLS,Inside,StoneBr,1Fam,10,5,2006,Y,2042,0,8,1,Y,455000
Lvl,Corner,IDOTRR,1Fam,2,4,1939,Y,640,0,4,0,N,68104
Lvl,Corner,Sawyer,1Fam,5,4,1972,Y,1001,640,5,1,Y,140000
Low,Corner,Veenker,1Fam,7,4,1974,Y,2151,495,9,4,Y,260000
Lvl,Corner,NridgHt,TwnhsE,7,5,2005,Y,1367,0,6,1,Y,192000
Lvl,Inside,OldTown,1Fam,5,7,1916,Y,808,704,8,0,N,135000
Lvl,Inside,NAmes,1Fam,6,7,1957,Y,936,0,4,0,Y,141000
Low,Inside,Veenker,1Fam,8,8,1980,Y,2014,0,6,2,Y,275000
Lvl,Inside,NAmes,1Fam,5,7,1962,Y,1283,0,6,0,Y,140000
Lvl,Inside,NWAmes,1Fam,7,6,1977,Y,1161,808,8,1,Y,190000
Lvl,Inside,IDOTRR,1Fam,5,6,1941,N,803,0,5,0,Y,87000
Lvl,Inside,Edwards,1Fam,5,7,1924,Y,949,272,7,0,Y,104900
Lvl,Inside,Blmngtn,TwnhsE,8,5,2004,Y,1269,0,6,1,Y,192000
Lvl,Corner,Gilbert,1Fam,6,5,1995,Y,691,807,6,1,Y,187500
HLS,Inside,Crawfor,1Fam,5,4,1960,Y,1273,0,5,0,Y,155000
Low,Inside,SawyerW,1Fam,7,5,1987,Y,1433,0,4,2,Y,270000
Lvl,Inside,NridgHt,Twnhs,7,5,2003,Y,764,862,6,0,Y,155000
Lvl,Inside,OldTown,2fmCon,4,7,1900,N,694,600,7,0,N,106250
Lvl,Inside,ClearCr,1Fam,5,4,1958,Y,1352,0,6,0,Y,130000
Lvl,Inside,NridgHt,1Fam,8,5,2004,Y,1718,1238,11,1,Y,342000
Lvl,Inside,BrkSide,1Fam,5,6,1926,Y,903,378,6,0,Y,132500
Lvl,Corner,SawyerW,1Fam,7,5,1993,Y,1079,800,8,1,Y,239900
Lvl,Corner,NAmes,1Fam,6,7,1970,Y,2117,0,7,2,Y,237500
Lvl,Inside,Edwards,1Fam,7,5,2009,Y,1508,0,5,2,Y,308030
Lvl,Inside,OldTown,1Fam,6,5,1924,N,1032,0,5,0,Y,108000
Lvl,Corner,CollgCr,1Fam,9,5,2002,Y,1668,0,7,1,Y,285000
Lvl,Inside,Mitchel,1Fam,7,5,2003,Y,1560,0,7,0,Y,201000
Lvl,Inside,Gilbert,1Fam,7,5,2006,Y,1525,0,6,1,Y,206580
Bnk,Inside,Edwards,1Fam,10,5,2007,Y,3138,1538,11,1,Y,184750
Lvl,Corner,Edwards,1Fam,4,3,1956,Y,960,0,5,0,Y,112000
Bnk,Inside,Crawfor,1Fam,7,8,1919,Y,818,818,7,1,N,167000
Lvl,Corner,NAmes,1Fam,6,6,1968,Y,1182,960,8,1,Y,193500
Lvl,Corner,Mitchel,1Fam,6,5,1976,Y,1062,0,5,2,Y,146800
Lvl,Inside,Somerst,Twnhs,8,5,1999,Y,962,624,7,0,Y,170000
Lvl,Inside,BrkSide,1Fam,7,5,1939,Y,1245,764,7,1,Y,150000
Low,Inside,SawyerW,1Fam,8,8,1983,Y,1496,636,5,1,Y,316600
Lvl,Inside,MeadowV,Twnhs,4,7,1972,Y,630,0,3,0,Y,81000
Lvl,Inside,NAmes,1Fam,6,8,1959,Y,988,0,6,0,Y,149500
Bnk,Inside,OldTown,2fmCon,4,4,1953,N,936,0,4,0,Y,93000
Lvl,Inside,NridgHt,1Fam,8,5,2007,Y,1582,0,7,0,Y,317500
Lvl,Inside,OldTown,1Fam,8,9,1890,Y,1157,1111,7,0,N,240000
Lvl,Corner,NAmes,1Fam,5,7,1959,Y,1287,0,7,1,Y,162000
Lvl,CulDSac,CollgCr,1Fam,7,6,1996,Y,827,834,6,1,Y,212000
Lvl,Inside,MeadowV,TwnhsE,5,5,1976,Y,1142,0,6,1,Y,134000
Lvl,Corner,NAmes,1Fam,6,6,1961,Y,1576,0,7,1,Y,174500
Lvl,Inside,Timber,TwnhsE,7,6,1986,Y,1501,0,6,1,Y,241500
Lvl,Inside,Sawyer,1Fam,6,5,1954,Y,1299,0,6,1,Y,150000
Lvl,Inside,Timber,1Fam,5,5,2006,Y,754,640,7,0,Y,167500
Lvl,Inside,NridgHt,1Fam,9,5,2007,Y,1943,713,8,1,Y,492000
Lvl,Inside,CollgCr,1Fam,7,5,2010,Y,1222,0,6,0,Y,187000
Lvl,Inside,Crawfor,1Fam,5,5,1926,N,789,0,5,0,Y,96500
Lvl,CulDSac,CollgCr,1Fam,5,5,1977,Y,1040,0,5,0,Y,134900
Lvl,Inside,NAmes,1Fam,6,5,1961,Y,1254,0,6,1,Y,158500
Lvl,Inside,SawyerW,1Fam,6,5,1985,Y,977,755,7,1,Y,178000
Lvl,Inside,NridgHt,1Fam,9,5,2006,Y,1738,851,11,1,Y,412083
Bnk,Inside,SWISU,2fmCon,6,7,1914,Y,1440,1440,14,0,N,200000
Lvl,Inside,NWAmes,1Fam,6,6,1974,Y,1309,0,5,1,Y,181000
Lvl,Inside,CollgCr,1Fam,5,7,1977,Y,1009,0,6,1,Y,160000
Lvl,Inside,BrDale,Twnhs,6,5,1972,Y,525,567,6,0,Y,108000
Lvl,Inside,MeadowV,Twnhs,4,7,1970,Y,546,546,5,0,Y,76000
Lvl,Inside,NAmes,1Fam,6,5,1964,Y,1246,0,6,2,Y,172000
Lvl,Corner,OldTown,1Fam,4,7,1910,Y,792,348,7,0,N,96500
Lvl,Inside,Sawyer,1Fam,5,6,1967,Y,902,0,6,0,Y,125500
Lvl,Inside,Gilbert,1Fam,7,5,2004,Y,847,1112,8,1,Y,215000
Lvl,Corner,Edwards,1Fam,4,5,2003,Y,1121,0,5,0,Y,140000
Lvl,Inside,NridgHt,1Fam,9,5,2006,Y,2121,0,8,1,Y,415298
Lvl,Inside,OldTown,1Fam,6,7,1910,N,684,684,7,0,N,114504
Lvl,Inside,NridgHt,Twnhs,7,5,2007,Y,1314,0,6,1,Y,230000
Lvl,Inside,Sawyer,Duplex,5,5,1978,Y,1373,0,5,2,Y,160250
Lvl,Inside,CollgCr,1Fam,7,5,2004,Y,1484,0,7,0,Y,213000
Lvl,Inside,NWAmes,1Fam,7,6,1974,Y,1173,0,6,2,Y,170000
Lvl,Inside,NAmes,1Fam,5,5,1955,Y,1382,0,6,0,Y,153000
Lvl,Inside,CollgCr,1Fam,6,5,1998,Y,928,844,7,1,Y,200000
Lvl,Inside,Sawyer,1Fam,5,5,1963,Y,984,0,5,1,Y,128000
Lvl,Corner,NAmes,1Fam,6,6,1957,Y,1105,0,5,0,Y,135000
Lvl,Inside,Edwards,1Fam,5,6,1951,Y,1342,0,7,0,Y,125000
Lvl,Inside,Sawyer,Duplex,5,4,1977,Y,1949,0,10,0,Y,157000
Lvl,Inside,Timber,1Fam,7,5,2003,Y,1146,1340,10,1,Y,279900
Lvl,Inside,NoRidge,1Fam,8,5,1992,Y,3228,0,10,1,Y,430000
Bnk,Inside,SWISU,1Fam,6,6,1935,Y,647,595,6,1,Y,105000
Bnk,Inside,BrkSide,1Fam,6,7,1920,Y,752,624,7,0,P,165000
Lvl,Inside,SawyerW,1Fam,7,5,2004,Y,1114,0,6,0,Y,159000
Lvl,Inside,Somerst,1Fam,8,5,2000,Y,975,873,7,1,Y,254000
Lvl,Inside,NoRidge,1Fam,8,6,1995,Y,2113,0,7,1,Y,350000
Lvl,Inside,IDOTRR,2fmCon,4,6,1958,Y,838,477,5,0,Y,99500
Lvl,Corner,NridgHt,1Fam,8,5,2006,Y,1973,0,9,1,Y,395000
Lvl,Inside,OldTown,1Fam,4,6,1940,Y,1095,561,8,0,Y,119164
Lvl,Inside,Gilbert,1Fam,7,5,2006,Y,608,850,6,0,Y,168165
Lvl,Inside,Sawyer,1Fam,5,8,1970,Y,904,0,5,0,Y,144000
Lvl,Inside,NWAmes,1Fam,7,5,1977,Y,1411,0,6,1,Y,82500
Lvl,Corner,Edwards,1Fam,6,7,1935,Y,1236,872,7,2,Y,235000
Lvl,Inside,SawyerW,1Fam,6,6,1980,Y,888,676,7,1,Y,171000
Lvl,Inside,Sawyer,1Fam,5,6,1958,Y,1021,580,6,0,Y,140000
Lvl,Inside,Gilbert,1Fam,6,5,2005,Y,742,742,8,1,Y,174000
Lvl,Inside,OldTown,1Fam,5,6,1957,Y,928,0,5,0,Y,112500
Lvl,Inside,NPkVill,TwnhsE,6,6,1976,Y,958,0,5,0,Y,143750
Lvl,Corner,NAmes,1Fam,5,7,1960,Y,1118,0,6,0,Y,153000
Lvl,Inside,SawyerW,TwnhsE,6,5,1979,Y,918,0,5,1,Y,99500
Lvl,Inside,Edwards,TwnhsE,5,5,2005,Y,1072,0,5,0,Y,145000
Lvl,Inside,Somerst,1Fam,8,5,2010,Y,1418,0,6,1,Y,267916
Lvl,Corner,NAmes,1Fam,5,5,1966,Y,1209,0,6,0,Y,159000
Lvl,Inside,Sawyer,1Fam,6,5,1978,Y,1096,0,6,1,Y,157500
Lvl,Inside,SawyerW,TwnhsE,6,5,1984,Y,752,0,4,0,Y,125000
Lvl,Inside,Somerst,1Fam,8,5,2006,Y,1588,0,7,1,Y,227000
Lvl,Corner,NridgHt,1Fam,7,5,2005,Y,1541,0,7,1,Y,220000
Lvl,Inside,IDOTRR,1Fam,5,5,1958,Y,1151,804,7,0,Y,165500
Lvl,CulDSac,NAmes,1Fam,6,7,1954,Y,1062,0,6,0,Y,131000
Lvl,Inside,NAmes,1Fam,5,5,1963,Y,1144,0,6,0,Y,124000
Lvl,Inside,NridgHt,TwnhsE,8,5,2006,Y,1342,0,6,1,Y,234250
Lvl,Inside,Mitchel,1Fam,5,7,1969,Y,784,848,7,1,Y,173000
Lvl,Inside,NWAmes,1Fam,7,6,1993,Y,1091,984,8,1,Y,255000
Lvl,Inside,Edwards,1Fam,5,6,1954,Y,1089,0,5,1,P,125000
Lvl,Inside,Edwards,Duplex,5,6,1946,N,1195,0,8,0,N,98500
Lvl,Inside,NAmes,1Fam,7,6,1965,Y,1186,800,7,3,Y,205000
Lvl,Inside,Crawfor,1Fam,6,7,1930,Y,1104,697,8,1,Y,210000
Lvl,Inside,NAmes,1Fam,6,5,1956,Y,1196,0,6,1,Y,139000
Bnk,Inside,Edwards,1Fam,4,5,1953,Y,930,0,5,0,Y,99000
Bnk,Inside,SawyerW,Duplex,5,5,1979,Y,1535,0,8,0,Y,118964
Lvl,Corner,Edwards,Duplex,4,3,1955,N,1152,0,6,0,N,61500
Lvl,Inside,Somerst,1Fam,8,5,2003,Y,1053,939,9,1,Y,250000
Lvl,Inside,IDOTRR,1Fam,6,6,1925,Y,788,448,6,1,Y,127000
Lvl,Inside,NWAmes,1Fam,8,9,1976,Y,1175,1540,11,2,Y,299800
Lvl,Inside,Mitchel,1Fam,5,7,1984,Y,833,0,5,0,Y,149900
Lvl,Inside,Gilbert,1Fam,7,5,2003,Y,660,660,6,0,Y,162000
Lvl,Inside,BrkSide,1Fam,4,7,1925,N,765,0,4,0,P,87000
Lvl,Inside,NridgHt,TwnhsE,9,5,2007,Y,1800,0,6,1,Y,370967
Lvl,Inside,NWAmes,1Fam,6,6,1981,Y,1422,0,7,1,Y,175500
Lvl,Inside,Edwards,1Fam,4,5,1955,Y,768,0,4,1,Y,125000
Lvl,Inside,Mitchel,1Fam,5,9,1982,Y,816,0,5,1,Y,130500
Lvl,Inside,CollgCr,1Fam,5,6,1969,Y,971,0,5,1,Y,128500
Lvl,Inside,Somerst,TwnhsE,7,5,2006,Y,625,625,5,0,Y,171900
Lvl,Inside,NAmes,1Fam,7,5,1970,Y,1277,0,5,1,Y,167000
HLS,Inside,BrkSide,1Fam,5,7,1924,Y,949,0,5,1,Y,119000
Lvl,Inside,NWAmes,1Fam,8,6,2001,Y,810,855,6,0,Y,227000
Low,Inside,Edwards,1Fam,4,7,1910,N,1055,218,5,0,N,121000
Lvl,Inside,Gilbert,1Fam,7,5,2003,Y,806,683,8,1,Y,192000
Lvl,Corner,CollgCr,1Fam,7,5,2001,Y,944,926,6,0,Y,211000
Lvl,Inside,Sawyer,2fmCon,5,4,1965,Y,1039,0,6,0,Y,131500
Lvl,Inside,Mitchel,1Fam,5,6,1977,Y,1676,0,6,2,P,196000
Lvl,Inside,NAmes,1Fam,6,5,1950,Y,1032,220,6,0,Y,119000
Low,Inside,Edwards,1Fam,5,5,1967,Y,936,0,4,1,Y,118500
Lvl,Inside,Gilbert,1Fam,7,5,1992,Y,812,670,7,1,Y,163900
Lvl,Inside,BrkSide,1Fam,6,6,1923,N,1432,0,6,1,Y,149000
Lvl,Inside,BrkSide,1Fam,6,6,1916,N,952,0,4,1,P,121000
Lvl,Corner,Timber,1Fam,7,5,2002,Y,824,1070,8,1,Y,214900
Lvl,Corner,NAmes,1Fam,6,5,1962,Y,1382,0,6,1,Y,176000
Lvl,Inside,Edwards,1Fam,4,7,1920,Y,605,0,5,0,N,86000
Lvl,Inside,Sawyer,1Fam,5,5,1967,Y,1458,0,7,1,Y,165000
Lvl,Corner,Gilbert,1Fam,7,5,1998,Y,885,833,7,1,Y,185000
Lvl,Inside,BrkSide,1Fam,6,6,1934,Y,816,0,6,1,Y,114500
Lvl,Inside,OldTown,1Fam,7,5,2003,Y,1362,720,6,0,N,200000
Lvl,Inside,Somerst,1Fam,8,5,2006,Y,1795,0,7,1,Y,147000
Lvl,Inside,Edwards,Duplex,5,5,1965,N,1664,0,8,0,Y,100000
Lvl,Inside,NoRidge,1Fam,8,5,2000,Y,1466,1221,10,2,Y,327000
Lvl,Inside,NridgHt,1Fam,9,5,2008,Y,1743,0,8,1,Y,335000
HLS,Inside,StoneBr,TwnhsE,8,5,1992,Y,1280,0,5,0,Y,191500
Lvl,Inside,NWAmes,1Fam,7,5,1979,Y,1085,845,9,1,Y,192000
Lvl,CulDSac,CollgCr,1Fam,7,5,1998,Y,1425,0,5,0,Y,193000
Lvl,Corner,Timber,1Fam,7,5,2008,Y,1346,0,6,1,Y,220000
Lvl,Inside,OldTown,1Fam,5,7,1939,Y,676,676,7,0,Y,149000
Lvl,Inside,CollgCr,1Fam,4,8,1972,Y,875,0,5,0,Y,117000
Lvl,Inside,Gilbert,1Fam,6,5,1997,Y,926,678,7,1,Y,187500
Lvl,Inside,Edwards,1Fam,4,4,1954,Y,1482,0,6,1,Y,125000
Lvl,Inside,CollgCr,1Fam,8,5,1995,Y,1220,870,8,1,Y,240000
Lvl,Corner,OldTown,1Fam,7,8,1920,Y,730,720,7,0,Y,132000
Lvl,Corner,NoRidge,1Fam,8,7,1993,Y,1352,1168,10,1,Y,310000
Lvl,Corner,NAmes,1Fam,5,7,1952,Y,732,0,4,0,Y,118900
Lvl,Inside,NoRidge,1Fam,8,5,1992,Y,1402,823,7,1,Y,285000
Lvl,Inside,NAmes,1Fam,7,5,1941,Y,2039,0,7,3,Y,167000
Lvl,Inside,NAmes,1Fam,6,6,1947,Y,900,412,6,0,Y,127000
Lvl,Corner,Edwards,1Fam,5,8,1922,Y,864,0,4,0,Y,99900
HLS,Inside,Crawfor,TwnhsE,7,5,2004,Y,1646,0,5,1,Y,250000
Lvl,Inside,Edwards,1Fam,5,7,1940,Y,1518,0,5,2,Y,260000
HLS,Inside,Edwards,1Fam,5,4,1969,Y,1176,0,5,0,Y,119900
Lvl,Inside,SawyerW,1Fam,6,5,1992,Y,844,887,7,0,Y,248500
Lvl,Inside,Crawfor,1Fam,7,8,1959,Y,1902,0,7,2,Y,335000
Lvl,Inside,OldTown,2fmCon,5,5,1920,Y,1377,973,10,0,Y,130000
Lvl,Inside,OldTown,2fmCon,6,6,1940,Y,884,552,8,2,Y,155000
Lvl,Inside,Somerst,TwnhsE,9,5,1999,Y,1557,0,5,1,Y,305000
Lvl,Inside,Gilbert,1Fam,6,5,2005,Y,728,728,8,0,Y,176000
Lvl,FR2,Crawfor,1Fam,7,6,1994,Y,896,756,6,0,Y,203135
Lvl,Corner,Somerst,1Fam,5,5,2007,Y,725,863,8,0,Y,212109
Lvl,Inside,Somerst,1Fam,7,5,2001,Y,1057,872,7,1,Y,226000
Lvl,CulDSac,Edwards,1Fam,4,3,1957,N,845,0,5,0,N,84000
Lvl,Inside,NWAmes,Duplex,5,5,1973,Y,1656,0,8,0,Y,135000
Bnk,Inside,Crawfor,1Fam,5,7,1949,N,986,537,7,1,Y,158000
Lvl,FR2,NAmes,1Fam,4,7,1971,Y,864,0,5,0,Y,130000
Lvl,Inside,NAmes,1Fam,6,5,1948,Y,1082,0,5,1,Y,119200
Lvl,Inside,CollgCr,1Fam,7,5,2005,Y,1614,0,7,0,Y,221500
Lvl,CulDSac,Timber,1Fam,6,6,1958,Y,1344,0,7,1,Y,137500
Lvl,Inside,NridgHt,1Fam,8,5,2006,Y,1634,0,7,1,Y,250000
Lvl,Inside,NAmes,1Fam,5,6,1954,Y,1268,0,7,1,Y,132000
Lvl,Inside,Edwards,1Fam,5,8,1900,Y,961,406,7,0,Y,119000
Lvl,Inside,Mitchel,1Fam,5,5,2004,Y,1430,0,7,0,Y,173500
Lvl,Inside,NPkVill,Twnhs,6,5,1976,Y,855,601,6,1,Y,144000
HLS,Inside,NridgHt,1Fam,10,5,2004,Y,2492,0,8,1,Y,552000
Lvl,Inside,NWAmes,1Fam,7,5,1974,Y,1165,896,8,1,Y,168500
Lvl,Inside,Edwards,Duplex,5,5,1975,N,864,0,4,0,Y,99600
Lvl,Inside,NWAmes,1Fam,5,5,1969,Y,780,840,7,0,Y,152000
Lvl,Corner,NAmes,1Fam,5,8,1956,Y,925,0,5,0,Y,127000
Lvl,Inside,Somerst,1Fam,7,6,2007,Y,1369,0,5,0,Y,213133
Lvl,Corner,OldTown,1Fam,5,6,1946,Y,904,595,5,1,Y,140000
Lvl,Inside,NoRidge,1Fam,7,5,1995,Y,1214,1306,9,1,Y,290000
Lvl,CulDSac,NAmes,1Fam,6,7,1970,Y,1004,0,5,1,Y,149000
Lvl,Inside,NAmes,1Fam,6,6,1956,Y,1024,0,5,2,Y,157500
Lvl,Inside,NoRidge,1Fam,8,5,1998,Y,1411,1171,9,1,Y,322500
Lvl,Inside,OldTown,1Fam,4,2,1900,N,1095,679,8,0,N,87000
Lvl,Corner,NAmes,1Fam,5,8,1965,Y,912,0,5,0,Y,147000
Lvl,Inside,OldTown,1Fam,10,9,1892,Y,1518,1518,12,2,Y,475000
Low,Inside,IDOTRR,1Fam,4,6,1920,Y,897,439,7,0,Y,108000
Lvl,Inside,Gilbert,1Fam,7,5,2005,Y,1166,0,5,0,Y,190000
Lvl,Corner,CollgCr,1Fam,5,6,1976,Y,894,0,5,0,Y,128200
Lvl,Inside,Mitchel,1Fam,5,7,1970,Y,768,0,5,0,Y,129500
Lvl,Inside,NridgHt,1Fam,9,5,2005,Y,1848,880,10,2,Y,437154
Lvl,Inside,NoRidge,1Fam,7,5,1993,Y,1108,1089,9,1,Y,287500
Lvl,Inside,Gilbert,1Fam,6,5,2006,Y,698,1048,6,1,Y,198444
Lvl,Inside,CollgCr,1Fam,7,5,2002,Y,1459,0,6,1,Y,192000
Lvl,CulDSac,Sawyer,1Fam,6,8,1978,Y,1034,0,6,1,Y,153000
