"","LandContour","LotConfig","Neighborhood","BldgType","OverallQual","OverallCond","YearBuilt","CentralAir","X1stFlrSF","X2ndFlrSF","TotRmsAbvGrd","Fireplaces","PavedDrive","SalePrice"
"280","Lvl","Corner","Gilbert","1Fam","7","5",2003,"Y",847,886,7,1,"Y",225000
"281","Lvl","Inside","NoRidge","1Fam","8","5",1997,"Y",1407,985,7,1,"Y",348000
"282","Lvl","Inside","NWAmes","1Fam","7","6",1993,"Y",1594,0,6,1,"Y",188500
"283","Lvl","Inside","Sawyer","Duplex","5","5",1977,"Y",1361,1259,12,1,"N",190000
"284","Lvl","Inside","OldTown","1Fam","3","5",1905,"Y",714,662,7,0,"N",96900
"285","Lvl","Inside","Gilbert","1Fam","7","5",2003,"Y",847,1139,9,1,"Y",213000
"286","Lvl","Inside","OldTown","1Fam","6","7",1915,"Y",728,728,7,0,"N",139500
"287","Lvl","Inside","IDOTRR","1Fam","5","5",1950,"Y",910,648,6,0,"Y",152000
"288","Lvl","Inside","Edwards","1Fam","6","6",1976,"Y",1125,0,6,1,"Y",125000
"289","Lvl","Inside","OldTown","1Fam","5","7",1954,"Y",833,0,4,0,"Y",117000
"290","Lvl","Inside","CollgCr","1Fam","8","5",2004,"Y",2000,0,8,0,"Y",305900
"291","Lvl","Inside","CollgCr","1Fam","5","8",1972,"Y",768,0,5,0,"Y",133900
"292","Lvl","Inside","Crawfor","1Fam","6","8",1932,"Y",1170,1175,9,1,"Y",239000
"293","Lvl","Inside","NWAmes","1Fam","6","7",1968,"Y",1489,0,7,1,"Y",185750
"294","Bnk","Inside","OldTown","1Fam","5","5",1925,"N",764,0,4,0,"N",73000
"295","Lvl","Inside","NridgHt","TwnhsE","7","5",2007,"Y",1358,0,6,1,"Y",212500
"296","Lvl","CulDSac","CollgCr","1Fam","5","6",1975,"Y",1558,0,5,0,"Y",163000
"297","Lvl","Inside","Gilbert","1Fam","7","5",2004,"Y",868,762,7,1,"Y",189500
"298","Bnk","Inside","NAmes","1Fam","5","6",1955,"Y",1056,0,6,0,"Y",125000
"299","Lvl","Inside","NridgHt","1Fam","10","5",2006,"Y",2076,0,7,1,"Y",465000
"300","Lvl","Inside","NridgHt","1Fam","9","5",2006,"Y",1850,898,9,1,"Y",390000
"301","Lvl","Corner","BrkSide","1Fam","5","5",1924,"Y",822,320,6,0,"Y",93000
"302","Lvl","Inside","BrkSide","1Fam","7","6",1925,"Y",1133,687,8,0,"N",184000
"303","Lvl","Inside","Gilbert","1Fam","7","5",1996,"Y",958,670,7,1,"Y",189000
"304","Lvl","Inside","Edwards","1Fam","5","5",1956,"Y",1073,0,5,0,"Y",121500
"305","Lvl","Inside","BrkSide","1Fam","5","5",1925,"Y",1072,0,5,0,"P",126500
"306","Lvl","Inside","NAmes","1Fam","6","6",1963,"Y",1045,0,6,1,"Y",127000
"307","Lvl","Corner","BrkSide","1Fam","3","6",1949,"N",720,0,4,0,"Y",72500
"308","Lvl","Corner","Crawfor","2fmCon","5","5",1953,"Y",1336,0,5,2,"Y",157000
"309","Lvl","Inside","Somerst","1Fam","8","5",2005,"Y",1082,871,9,1,"Y",252000
"310","Lvl","Inside","SawyerW","Duplex","7","5",2000,"Y",1168,1619,8,2,"Y",269500
"311","Lvl","Inside","NPkVill","TwnhsE","6","5",1974,"Y",855,467,6,1,"Y",147000
"312","Lvl","Inside","SWISU","1Fam","6","5",1936,"Y",1166,0,6,0,"Y",115000
"313","Lvl","Inside","BrkSide","1Fam","5","6",1945,"N",808,0,6,0,"P",81300
"314","Lvl","Corner","NAmes","1Fam","5","5",1968,"Y",1051,0,6,0,"Y",142000
"315","Lvl","Inside","BrkSide","1Fam","4","5",1926,"Y",747,0,5,0,"Y",79900
"316","Lvl","Inside","BrkSide","1Fam","5","7",1921,"Y",616,0,4,0,"Y",89000
"317","Lvl","Inside","CollgCr","1Fam","9","5",2008,"Y",2276,0,7,2,"Y",475000
"318","Lvl","Inside","IDOTRR","1Fam","4","6",1925,"N",572,0,4,0,"N",75000
"319","Lvl","Inside","NAmes","1Fam","5","5",1964,"Y",1292,0,6,2,"Y",145100
"320","Lvl","Inside","NAmes","1Fam","4","7",1960,"Y",894,0,5,1,"Y",141500
"321","Lvl","Inside","Crawfor","1Fam","7","6",1941,"Y",1225,908,8,2,"Y",257500
"322","Lvl","Corner","BrkSide","2fmCon","5","6",1939,"Y",1077,0,5,2,"Y",118000
"323","Lvl","Inside","Gilbert","1Fam","7","5",2000,"Y",774,656,7,1,"Y",180000
"324","HLS","Inside","StoneBr","TwnhsE","9","5",2007,"Y",1710,0,6,1,"Y",334000
"325","Lvl","Inside","Gilbert","1Fam","7","5",2000,"Y",1008,884,8,1,"Y",226750
"326","Lvl","Inside","NAmes","1Fam","5","7",1959,"Y",1053,0,5,0,"Y",145500
"327","Lvl","Corner","Gilbert","1Fam","7","5",2004,"Y",744,630,8,1,"Y",175000
"328","Lvl","Inside","NAmes","1Fam","6","6",1960,"Y",1081,0,5,0,"Y",148000
"329","Lvl","Inside","NridgHt","Twnhs","8","5",2006,"Y",1554,0,6,1,"Y",209500
"330","Lvl","Inside","Sawyer","1Fam","5","6",1968,"Y",1721,0,7,1,"Y",180000
"331","Lvl","CulDSac","CollgCr","1Fam","7","5",2003,"Y",1129,1198,9,1,"Y",240000
"332","Lvl","Corner","OldTown","1Fam","4","6",1920,"Y",861,0,5,0,"N",80000
"333","Low","Inside","CollgCr","1Fam","7","5",1998,"Y",1463,0,5,0,"Y",207000
"334","Lvl","Inside","NridgHt","Twnhs","7","5",2003,"Y",764,862,6,0,"Y",175500
"335","Lvl","Corner","NAmes","1Fam","5","7",1957,"Y",816,0,5,0,"Y",129900
"336","HLS","Inside","Crawfor","1Fam","5","7",1921,"Y",964,0,5,0,"Y",163500
"337","Lvl","CulDSac","CollgCr","1Fam","7","5",1998,"Y",880,844,8,0,"Y",188000
"338","Lvl","Inside","Crawfor","1Fam","7","8",1918,"Y",628,600,6,1,"Y",137000
"339","Lvl","Inside","Edwards","1Fam","4","5",1948,"N",792,328,5,0,"P",64000
"340","Lvl","Inside","Somerst","TwnhsE","9","5",2001,"Y",1419,0,5,1,"Y",290000
"341","Lvl","Inside","IDOTRR","1Fam","5","7",1922,"Y",816,0,5,0,"N",75200
"342","HLS","FR2","Gilbert","1Fam","6","5",1997,"Y",802,709,8,1,"Y",185000
"343","Lvl","Corner","SWISU","1Fam","7","3",1920,"Y",1687,998,12,2,"Y",197000
"344","Lvl","FR2","NAmes","1Fam","4","4",1920,"Y",1281,457,7,1,"Y",104900
"345","Lvl","Inside","BrkSide","1Fam","3","5",1945,"N",442,228,4,0,"N",64000
"346","Lvl","Inside","NridgHt","Twnhs","8","5",2006,"Y",1554,0,6,1,"Y",209500
"347","Lvl","Inside","Edwards","1Fam","5","5",1950,"Y",1368,0,6,0,"Y",120000
"348","Lvl","Corner","NAmes","Duplex","5","5",1961,"N",1800,0,10,0,"N",130000
"349","Lvl","Corner","SWISU","1Fam","7","8",1921,"Y",1424,0,7,1,"Y",168000
"350","Lvl","Inside","NWAmes","1Fam","7","5",1969,"Y",1164,0,6,0,"Y",140000
"351","Lvl","Inside","Timber","1Fam","7","5",1989,"Y",1238,1281,9,2,"Y",335000
"352","Lvl","Inside","Somerst","1Fam","8","5",2004,"Y",1694,0,7,1,"Y",307000
"353","Bnk","Inside","Crawfor","1Fam","6","7",1942,"Y",753,741,7,2,"P",177500
"354","Lvl","CulDSac","Timber","1Fam","7","5",1990,"Y",1339,0,6,1,"Y",180000
"355","Lvl","Inside","Blmngtn","TwnhsE","7","5",2003,"Y",1557,0,7,1,"Y",234000
"356","HLS","Inside","Timber","1Fam","9","5",2008,"Y",2018,0,10,1,"Y",378500
"357","Lvl","Inside","Somerst","1Fam","7","5",1997,"Y",975,975,7,1,"Y",239000
"358","Lvl","Corner","NAmes","Duplex","5","4",1961,"N",1800,0,10,0,"Y",141000
"359","Lvl","CulDSac","Edwards","1Fam","4","5",1958,"N",943,0,5,0,"N",80000
"360","Lvl","Inside","NoRidge","1Fam","8","5",1998,"Y",1310,1140,7,1,"Y",340000
"361","Lvl","Inside","GrnHill","TwnhsE","7","5",1998,"Y",1502,0,5,1,"Y",330000
"362","Lvl","Inside","NPkVill","TwnhsE","6","5",1978,"Y",804,744,7,1,"Y",147000
"363","Low","Inside","ClearCr","1Fam","7","6",1979,"Y",1332,192,4,1,"Y",260000
"364","Bnk","Corner","OldTown","2fmCon","7","5",1902,"N",978,886,9,0,"N",97500
"365","Lvl","Inside","NridgHt","TwnhsE","9","5",2008,"Y",1456,0,6,1,"Y",248500
"366","Lvl","Inside","SawyerW","1Fam","6","5",2003,"Y",835,861,7,0,"Y",188000
"367","Lvl","Inside","ClearCr","1Fam","5","3",1917,"N",725,499,6,0,"N",107500
"368","Lvl","Inside","Sawyer","Duplex","5","4",1977,"Y",1967,0,10,0,"Y",156500
"369","Lvl","Corner","NridgHt","1Fam","8","5",2003,"Y",1575,0,7,1,"Y",284000
"370","Lvl","FR3","NWAmes","1Fam","6","6",1980,"Y",1102,0,5,1,"Y",169000
"371","Bnk","Inside","Edwards","1Fam","6","7",1946,"Y",892,747,6,1,"Y",154400
"372","Lvl","Inside","SWISU","2fmCon","5","4",1915,"N",1212,180,6,0,"N",100000
"373","Lvl","Inside","NAmes","1Fam","6","4",1967,"Y",1040,0,6,1,"Y",163000
"374","Lvl","Inside","OldTown","1Fam","6","4",1880,"Y",1178,1032,8,0,"N",117500
"375","Lvl","FR2","CollgCr","1Fam","7","5",2004,"Y",1500,0,6,0,"Y",190000
"376","Lvl","Inside","Edwards","1Fam","4","7",1910,"N",796,550,6,0,"Y",112000
"377","Lvl","Inside","Edwards","1Fam","4","6",1954,"Y",948,0,5,1,"Y",119000
"378","Lvl","Corner","Sawyer","1Fam","5","7",1962,"Y",999,0,6,0,"Y",132500
"379","Lvl","Inside","CollgCr","1Fam","6","5",2006,"Y",1314,0,6,1,"Y",176432
"380","Lvl","Inside","OldTown","1Fam","5","5",1910,"N",801,646,6,0,"N",103000
"381","Lvl","Inside","NAmes","1Fam","5","6",1968,"Y",732,732,7,0,"Y",141000
"382","Lvl","Inside","Somerst","Twnhs","7","5",1999,"Y",757,744,6,0,"Y",179400
"383","HLS","Inside","Crawfor","1Fam","5","6",1940,"Y",1125,592,7,1,"Y",194000
"384","Lvl","Inside","Somerst","1Fam","7","5",2007,"Y",1218,0,6,0,"Y",230348
"385","Bnk","Corner","Mitchel","1Fam","6","5",1983,"Y",1080,0,5,0,"Y",134000
"386","Lvl","Corner","NridgHt","1Fam","9","5",2008,"Y",1808,0,7,1,"Y",324000
"387","Lvl","Inside","OldTown","1Fam","6","7",1910,"Y",780,741,8,0,"Y",146500
"388","Lvl","FR2","NridgHt","1Fam","10","5",2006,"Y",1718,0,7,1,"Y",337500
"389","Lvl","Inside","NAmes","1Fam","6","5",1974,"Y",1434,0,7,1,"Y",157000
"390","Lvl","Inside","NAmes","1Fam","5","6",1961,"Y",1144,0,6,0,"Y",139950
"391","Lvl","Inside","Edwards","1Fam","5","7",1959,"Y",3820,0,11,2,"Y",284700
"392","Lvl","CulDSac","StoneBr","TwnhsE","8","5",1984,"Y",1360,0,4,1,"Y",187500
"393","HLS","CulDSac","Gilbert","1Fam","8","5",2005,"Y",901,900,8,1,"Y",239900
"394","Lvl","Inside","NAmes","1Fam","5","6",1970,"Y",1002,0,5,0,"Y",148500
"395","Lvl","Inside","NridgHt","1Fam","9","5",2008,"Y",1734,1088,12,1,"Y",582933
"396","Low","CulDSac","Crawfor","1Fam","6","7",1954,"Y",1640,0,7,1,"Y",224000
"397","Lvl","Inside","MeadowV","Twnhs","4","4",1972,"Y",546,546,5,0,"Y",85500
"398","Lvl","Inside","Veenker","1Fam","6","6",1977,"Y",1208,0,6,1,"Y",165000
"399","Lvl","Corner","CollgCr","1Fam","6","5",2007,"Y",608,788,6,1,"Y",170000
"400","Lvl","Inside","Gilbert","1Fam","5","5",2005,"Y",734,1104,7,1,"Y",192140
"401","Lvl","Inside","NAmes","1Fam","5","5",1960,"Y",1242,0,6,0,"Y",152000
"402","Lvl","Inside","Mitchel","1Fam","5","7",1971,"Y",796,0,5,0,"Y",138000
"403","Lvl","Inside","Somerst","1Fam","10","5",2007,"Y",1966,0,6,1,"Y",419005
"404","Lvl","Inside","NAmes","1Fam","7","6",1965,"Y",902,918,8,2,"Y",201800
"405","Lvl","Inside","NoRidge","1Fam","7","8",1991,"Y",975,780,7,1,"Y",235000
"406","Lvl","Inside","Sawyer","1Fam","4","7",1945,"N",998,0,5,0,"Y",89500
"407","HLS","Inside","StoneBr","1Fam","10","5",2006,"Y",2042,0,8,1,"Y",455000
"408","Lvl","Corner","IDOTRR","1Fam","2","4",1939,"Y",640,0,4,0,"N",68104
"409","Lvl","Corner","Sawyer","1Fam","5","4",1972,"Y",1001,640,5,1,"Y",140000
"410","Low","Corner","Veenker","1Fam","7","4",1974,"Y",2151,495,9,4,"Y",260000
"411","Lvl","Corner","NridgHt","TwnhsE","7","5",2005,"Y",1367,0,6,1,"Y",192000
"412","Lvl","Inside","OldTown","1Fam","5","7",1916,"Y",808,704,8,0,"N",135000
"413","Lvl","Inside","NAmes","1Fam","6","7",1957,"Y",936,0,4,0,"Y",141000
"414","Low","Inside","Veenker","1Fam","8","8",1980,"Y",2014,0,6,2,"Y",275000
"415","Lvl","Inside","NAmes","1Fam","5","7",1962,"Y",1283,0,6,0,"Y",140000
"416","Lvl","Inside","NWAmes","1Fam","7","6",1977,"Y",1161,808,8,1,"Y",190000
"417","Lvl","Inside","IDOTRR","1Fam","5","6",1941,"N",803,0,5,0,"Y",87000
"418","Lvl","Inside","Edwards","1Fam","5","7",1924,"Y",949,272,7,0,"Y",104900
"419","Lvl","Inside","Blmngtn","TwnhsE","8","5",2004,"Y",1269,0,6,1,"Y",192000
"420","Lvl","Corner","Gilbert","1Fam","6","5",1995,"Y",691,807,6,1,"Y",187500
"421","HLS","Inside","Crawfor","1Fam","5","4",1960,"Y",1273,0,5,0,"Y",155000
"422","Low","Inside","SawyerW","1Fam","7","5",1987,"Y",1433,0,4,2,"Y",270000
"423","Lvl","Inside","NridgHt","Twnhs","7","5",2003,"Y",764,862,6,0,"Y",155000
"424","Lvl","Inside","OldTown","2fmCon","4","7",1900,"N",694,600,7,0,"N",106250
"425","Lvl","Inside","ClearCr","1Fam","5","4",1958,"Y",1352,0,6,0,"Y",130000
"426","Lvl","Inside","NridgHt","1Fam","8","5",2004,"Y",1718,1238,11,1,"Y",342000
"427","Lvl","Inside","BrkSide","1Fam","5","6",1926,"Y",903,378,6,0,"Y",132500
"428","Lvl","Corner","SawyerW","1Fam","7","5",1993,"Y",1079,800,8,1,"Y",239900
"429","Lvl","Corner","NAmes","1Fam","6","7",1970,"Y",2117,0,7,2,"Y",237500
"430","Lvl","Inside","Edwards","1Fam","7","5",2009,"Y",1508,0,5,2,"Y",308030
"431","Lvl","Inside","OldTown","1Fam","6","5",1924,"N",1032,0,5,0,"Y",108000
"432","Lvl","Corner","CollgCr","1Fam","9","5",2002,"Y",1668,0,7,1,"Y",285000
"433","Lvl","Inside","Mitchel","1Fam","7","5",2003,"Y",1560,0,7,0,"Y",201000
"434","Lvl","Inside","Gilbert","1Fam","7","5",2006,"Y",1525,0,6,1,"Y",206580
"435","Bnk","Inside","Edwards","1Fam","10","5",2007,"Y",3138,1538,11,1,"Y",184750
"436","Lvl","Corner","Edwards","1Fam","4","3",1956,"Y",960,0,5,0,"Y",112000
"437","Bnk","Inside","Crawfor","1Fam","7","8",1919,"Y",818,818,7,1,"N",167000
"438","Lvl","Corner","NAmes","1Fam","6","6",1968,"Y",1182,960,8,1,"Y",193500
"439","Lvl","Corner","Mitchel","1Fam","6","5",1976,"Y",1062,0,5,2,"Y",146800
"440","Lvl","Inside","Somerst","Twnhs","8","5",1999,"Y",962,624,7,0,"Y",170000
"441","Lvl","Inside","BrkSide","1Fam","7","5",1939,"Y",1245,764,7,1,"Y",150000
"442","Low","Inside","SawyerW","1Fam","8","8",1983,"Y",1496,636,5,1,"Y",316600
"443","Lvl","Inside","MeadowV","Twnhs","4","7",1972,"Y",630,0,3,0,"Y",81000
"444","Lvl","Inside","NAmes","1Fam","6","8",1959,"Y",988,0,6,0,"Y",149500
"445","Bnk","Inside","OldTown","2fmCon","4","4",1953,"N",936,0,4,0,"Y",93000
"446","Lvl","Inside","NridgHt","1Fam","8","5",2007,"Y",1582,0,7,0,"Y",317500
"447","Lvl","Inside","OldTown","1Fam","8","9",1890,"Y",1157,1111,7,0,"N",240000
"448","Lvl","Corner","NAmes","1Fam","5","7",1959,"Y",1287,0,7,1,"Y",162000
"449","Lvl","CulDSac","CollgCr","1Fam","7","6",1996,"Y",827,834,6,1,"Y",212000
"450","Lvl","Inside","MeadowV","TwnhsE","5","5",1976,"Y",1142,0,6,1,"Y",134000
"451","Lvl","Corner","NAmes","1Fam","6","6",1961,"Y",1576,0,7,1,"Y",174500
"452","Lvl","Inside","Timber","TwnhsE","7","6",1986,"Y",1501,0,6,1,"Y",241500
"453","Lvl","Inside","Sawyer","1Fam","6","5",1954,"Y",1299,0,6,1,"Y",150000
"454","Lvl","Inside","Timber","1Fam","5","5",2006,"Y",754,640,7,0,"Y",167500
"455","Lvl","Inside","NridgHt","1Fam","9","5",2007,"Y",1943,713,8,1,"Y",492000
"456","Lvl","Inside","CollgCr","1Fam","7","5",2010,"Y",1222,0,6,0,"Y",187000
"457","Lvl","Inside","Crawfor","1Fam","5","5",1926,"N",789,0,5,0,"Y",96500
"458","Lvl","CulDSac","CollgCr","1Fam","5","5",1977,"Y",1040,0,5,0,"Y",134900
"459","Lvl","Inside","NAmes","1Fam","6","5",1961,"Y",1254,0,6,1,"Y",158500
"460","Lvl","Inside","SawyerW","1Fam","6","5",1985,"Y",977,755,7,1,"Y",178000
"461","Lvl","Inside","NridgHt","1Fam","9","5",2006,"Y",1738,851,11,1,"Y",412083
"462","Bnk","Inside","SWISU","2fmCon","6","7",1914,"Y",1440,1440,14,0,"N",200000
"463","Lvl","Inside","NWAmes","1Fam","6","6",1974,"Y",1309,0,5,1,"Y",181000
"464","Lvl","Inside","CollgCr","1Fam","5","7",1977,"Y",1009,0,6,1,"Y",160000
"465","Lvl","Inside","BrDale","Twnhs","6","5",1972,"Y",525,567,6,0,"Y",108000
"466","Lvl","Inside","MeadowV","Twnhs","4","7",1970,"Y",546,546,5,0,"Y",76000
"467","Lvl","Inside","NAmes","1Fam","6","5",1964,"Y",1246,0,6,2,"Y",172000
"468","Lvl","Corner","OldTown","1Fam","4","7",1910,"Y",792,348,7,0,"N",96500
"469","Lvl","Inside","Sawyer","1Fam","5","6",1967,"Y",902,0,6,0,"Y",125500
"470","Lvl","Inside","Gilbert","1Fam","7","5",2004,"Y",847,1112,8,1,"Y",215000
"471","Lvl","Corner","Edwards","1Fam","4","5",2003,"Y",1121,0,5,0,"Y",140000
"472","Lvl","Inside","NridgHt","1Fam","9","5",2006,"Y",2121,0,8,1,"Y",415298
"473","Lvl","Inside","OldTown","1Fam","6","7",1910,"N",684,684,7,0,"N",114504
"474","Lvl","Inside","NridgHt","Twnhs","7","5",2007,"Y",1314,0,6,1,"Y",230000
"475","Lvl","Inside","Sawyer","Duplex","5","5",1978,"Y",1373,0,5,2,"Y",160250
"476","Lvl","Inside","CollgCr","1Fam","7","5",2004,"Y",1484,0,7,0,"Y",213000
"477","Lvl","Inside","NWAmes","1Fam","7","6",1974,"Y",1173,0,6,2,"Y",170000
"478","Lvl","Inside","NAmes","1Fam","5","5",1955,"Y",1382,0,6,0,"Y",153000
"479","Lvl","Inside","CollgCr","1Fam","6","5",1998,"Y",928,844,7,1,"Y",200000
"480","Lvl","Inside","Sawyer","1Fam","5","5",1963,"Y",984,0,5,1,"Y",128000
"481","Lvl","Corner","NAmes","1Fam","6","6",1957,"Y",1105,0,5,0,"Y",135000
"482","Lvl","Inside","Edwards","1Fam","5","6",1951,"Y",1342,0,7,0,"Y",125000
"483","Lvl","Inside","Sawyer","Duplex","5","4",1977,"Y",1949,0,10,0,"Y",157000
"484","Lvl","Inside","Timber","1Fam","7","5",2003,"Y",1146,1340,10,1,"Y",279900
"485","Lvl","Inside","NoRidge","1Fam","8","5",1992,"Y",3228,0,10,1,"Y",430000
"486","Bnk","Inside","SWISU","1Fam","6","6",1935,"Y",647,595,6,1,"Y",105000
"487","Bnk","Inside","BrkSide","1Fam","6","7",1920,"Y",752,624,7,0,"P",165000
"488","Lvl","Inside","SawyerW","1Fam","7","5",2004,"Y",1114,0,6,0,"Y",159000
"489","Lvl","Inside","Somerst","1Fam","8","5",2000,"Y",975,873,7,1,"Y",254000
"490","Lvl","Inside","NoRidge","1Fam","8","6",1995,"Y",2113,0,7,1,"Y",350000
"491","Lvl","Inside","IDOTRR","2fmCon","4","6",1958,"Y",838,477,5,0,"Y",99500
"492","Lvl","Corner","NridgHt","1Fam","8","5",2006,"Y",1973,0,9,1,"Y",395000
"493","Lvl","Inside","OldTown","1Fam","4","6",1940,"Y",1095,561,8,0,"Y",119164
"494","Lvl","Inside","Gilbert","1Fam","7","5",2006,"Y",608,850,6,0,"Y",168165
"495","Lvl","Inside","Sawyer","1Fam","5","8",1970,"Y",904,0,5,0,"Y",144000
"496","Lvl","Inside","NWAmes","1Fam","7","5",1977,"Y",1411,0,6,1,"Y",82500
"497","Lvl","Corner","Edwards","1Fam","6","7",1935,"Y",1236,872,7,2,"Y",235000
"498","Lvl","Inside","SawyerW","1Fam","6","6",1980,"Y",888,676,7,1,"Y",171000
"499","Lvl","Inside","Sawyer","1Fam","5","6",1958,"Y",1021,580,6,0,"Y",140000
"500","Lvl","Inside","Gilbert","1Fam","6","5",2005,"Y",742,742,8,1,"Y",174000
"501","Lvl","Inside","OldTown","1Fam","5","6",1957,"Y",928,0,5,0,"Y",112500
"502","Lvl","Inside","NPkVill","TwnhsE","6","6",1976,"Y",958,0,5,0,"Y",143750
"503","Lvl","Corner","NAmes","1Fam","5","7",1960,"Y",1118,0,6,0,"Y",153000
"504","Lvl","Inside","SawyerW","TwnhsE","6","5",1979,"Y",918,0,5,1,"Y",99500
"505","Lvl","Inside","Edwards","TwnhsE","5","5",2005,"Y",1072,0,5,0,"Y",145000
"506","Lvl","Inside","Somerst","1Fam","8","5",2010,"Y",1418,0,6,1,"Y",267916
"507","Lvl","Corner","NAmes","1Fam","5","5",1966,"Y",1209,0,6,0,"Y",159000
"508","Lvl","Inside","Sawyer","1Fam","6","5",1978,"Y",1096,0,6,1,"Y",157500
"509","Lvl","Inside","SawyerW","TwnhsE","6","5",1984,"Y",752,0,4,0,"Y",125000
"510","Lvl","Inside","Somerst","1Fam","8","5",2006,"Y",1588,0,7,1,"Y",227000
"511","Lvl","Corner","NridgHt","1Fam","7","5",2005,"Y",1541,0,7,1,"Y",220000
"512","Lvl","Inside","IDOTRR","1Fam","5","5",1958,"Y",1151,804,7,0,"Y",165500
"513","Lvl","CulDSac","NAmes","1Fam","6","7",1954,"Y",1062,0,6,0,"Y",131000
"514","Lvl","Inside","NAmes","1Fam","5","5",1963,"Y",1144,0,6,0,"Y",124000
"515","Lvl","Inside","NridgHt","TwnhsE","8","5",2006,"Y",1342,0,6,1,"Y",234250
"516","Lvl","Inside","Mitchel","1Fam","5","7",1969,"Y",784,848,7,1,"Y",173000
"517","Lvl","Inside","NWAmes","1Fam","7","6",1993,"Y",1091,984,8,1,"Y",255000
"518","Lvl","Inside","Edwards","1Fam","5","6",1954,"Y",1089,0,5,1,"P",125000
"519","Lvl","Inside","Edwards","Duplex","5","6",1946,"N",1195,0,8,0,"N",98500
"520","Lvl","Inside","NAmes","1Fam","7","6",1965,"Y",1186,800,7,3,"Y",205000
"521","Lvl","Inside","Crawfor","1Fam","6","7",1930,"Y",1104,697,8,1,"Y",210000
"522","Lvl","Inside","NAmes","1Fam","6","5",1956,"Y",1196,0,6,1,"Y",139000
"523","Bnk","Inside","Edwards","1Fam","4","5",1953,"Y",930,0,5,0,"Y",99000
"524","Bnk","Inside","SawyerW","Duplex","5","5",1979,"Y",1535,0,8,0,"Y",118964
"525","Lvl","Corner","Edwards","Duplex","4","3",1955,"N",1152,0,6,0,"N",61500
"526","Lvl","Inside","Somerst","1Fam","8","5",2003,"Y",1053,939,9,1,"Y",250000
"527","Lvl","Inside","IDOTRR","1Fam","6","6",1925,"Y",788,448,6,1,"Y",127000
"528","Lvl","Inside","NWAmes","1Fam","8","9",1976,"Y",1175,1540,11,2,"Y",299800
"529","Lvl","Inside","Mitchel","1Fam","5","7",1984,"Y",833,0,5,0,"Y",149900
"530","Lvl","Inside","Gilbert","1Fam","7","5",2003,"Y",660,660,6,0,"Y",162000
"531","Lvl","Inside","BrkSide","1Fam","4","7",1925,"N",765,0,4,0,"P",87000
"532","Lvl","Inside","NridgHt","TwnhsE","9","5",2007,"Y",1800,0,6,1,"Y",370967
"533","Lvl","Inside","NWAmes","1Fam","6","6",1981,"Y",1422,0,7,1,"Y",175500
"534","Lvl","Inside","Edwards","1Fam","4","5",1955,"Y",768,0,4,1,"Y",125000
"535","Lvl","Inside","Mitchel","1Fam","5","9",1982,"Y",816,0,5,1,"Y",130500
"536","Lvl","Inside","CollgCr","1Fam","5","6",1969,"Y",971,0,5,1,"Y",128500
"537","Lvl","Inside","Somerst","TwnhsE","7","5",2006,"Y",625,625,5,0,"Y",171900
"538","Lvl","Inside","NAmes","1Fam","7","5",1970,"Y",1277,0,5,1,"Y",167000
"539","HLS","Inside","BrkSide","1Fam","5","7",1924,"Y",949,0,5,1,"Y",119000
"540","Lvl","Inside","NWAmes","1Fam","8","6",2001,"Y",810,855,6,0,"Y",227000
"541","Low","Inside","Edwards","1Fam","4","7",1910,"N",1055,218,5,0,"N",121000
"542","Lvl","Inside","Gilbert","1Fam","7","5",2003,"Y",806,683,8,1,"Y",192000
"543","Lvl","Corner","CollgCr","1Fam","7","5",2001,"Y",944,926,6,0,"Y",211000
"544","Lvl","Inside","Sawyer","2fmCon","5","4",1965,"Y",1039,0,6,0,"Y",131500
"545","Lvl","Inside","Mitchel","1Fam","5","6",1977,"Y",1676,0,6,2,"P",196000
"546","Lvl","Inside","NAmes","1Fam","6","5",1950,"Y",1032,220,6,0,"Y",119000
"547","Low","Inside","Edwards","1Fam","5","5",1967,"Y",936,0,4,1,"Y",118500
"548","Lvl","Inside","Gilbert","1Fam","7","5",1992,"Y",812,670,7,1,"Y",163900
"549","Lvl","Inside","BrkSide","1Fam","6","6",1923,"N",1432,0,6,1,"Y",149000
"550","Lvl","Inside","BrkSide","1Fam","6","6",1916,"N",952,0,4,1,"P",121000
"551","Lvl","Corner","Timber","1Fam","7","5",2002,"Y",824,1070,8,1,"Y",214900
"552","Lvl","Corner","NAmes","1Fam","6","5",1962,"Y",1382,0,6,1,"Y",176000
"553","Lvl","Inside","Edwards","1Fam","4","7",1920,"Y",605,0,5,0,"N",86000
"554","Lvl","Inside","Sawyer","1Fam","5","5",1967,"Y",1458,0,7,1,"Y",165000
"555","Lvl","Corner","Gilbert","1Fam","7","5",1998,"Y",885,833,7,1,"Y",185000
"556","Lvl","Inside","BrkSide","1Fam","6","6",1934,"Y",816,0,6,1,"Y",114500
"557","Lvl","Inside","OldTown","1Fam","7","5",2003,"Y",1362,720,6,0,"N",200000
"558","Lvl","Inside","Somerst","1Fam","8","5",2006,"Y",1795,0,7,1,"Y",147000
"559","Lvl","Inside","Edwards","Duplex","5","5",1965,"N",1664,0,8,0,"Y",100000
"560","Lvl","Inside","NoRidge","1Fam","8","5",2000,"Y",1466,1221,10,2,"Y",327000
"561","Lvl","Inside","NridgHt","1Fam","9","5",2008,"Y",1743,0,8,1,"Y",335000
